,NG sim,subject,SC_0.8,SC_0.9,SC_0.95,SC_0.98,SC_0.99,SC_1
443,43,2122,438,680,717,787,787,787
444,44,2122,172,203,538,574,574,574
445,45,2122,155,243,257,322,322,322
446,46,2122,2020,2086,2442,2724,2724,2724
447,47,2122,116,150,169,415,415,415
448,48,2122,51,75,101,136,136,136
449,49,2122,235,479,813,869,869,869
450,50,2122,92,298,304,354,354,354
451,51,2122,479,798,1088,1158,1158,1158
452,52,2122,297,361,510,537,537,537
453,53,2122,1434,1540,1723,2087,2087,2087
454,54,2122,123,178,202,304,304,304
455,55,2122,194,226,313,356,356,356
456,56,2122,202,247,256,305,305,305
457,57,2122,88,102,175,370,370,370
458,58,2122,32,70,86,155,155,155
459,59,2122,430,489,534,660,660,660
460,60,2122,430,1190,2294,2696,2696,2696
461,61,2122,168,351,363,485,485,485
462,62,2122,65,81,492,682,682,682
463,63,2122,211,2150,2164,2219,2219,2219
464,64,2122,255,456,466,1117,1117,1117
465,65,2122,85,207,290,2251,2251,2251
466,66,2122,1762,2397,2454,2613,2613,2613
467,67,2122,117,166,331,450,450,450
468,68,2122,181,447,1034,1448,1448,1448
469,69,2122,92,2671,3011,3254,3254,3254
470,70,2122,465,1202,1233,1263,1263,1263
471,71,2122,220,332,681,818,818,818
472,72,2122,61,121,133,1167,1167,1167
473,73,2122,115,159,181,629,629,629
474,74,2122,292,464,472,546,546,546
475,75,2122,74,122,216,241,241,241
476,76,2122,50,149,171,302,302,302
477,77,2122,151,1632,1795,1886,1886,1886
478,78,2122,434,501,743,1553,1553,1553
479,79,2122,70,105,108,266,266,266
480,80,2122,721,965,1124,1592,1592,1592
481,81,2122,4293,4667,4677,4934,4934,4934
482,82,2122,55,70,172,211,211,211
483,83,2122,418,2027,2141,2694,2694,2694
484,84,2122,63,89,309,568,568,568
485,85,2122,667,1425,1503,1590,1590,1590
486,86,2122,67,82,94,147,147,147
487,87,2122,133,318,355,415,415,415
488,88,2122,153,1135,1448,1687,1687,1687
489,89,2122,1092,1316,1329,1432,1432,1432
490,90,2122,361,430,613,1548,1548,1548
