subject,SC_0.7,SC_0.8,SC_0.9,SC_0.95,SC_0.98,SC_0.99,SC_1
305830,200,476,682,875,1046,1053,1073
308129,260,440,1031,1133,1355,1384,1448
308331,277,340,472,818,1021,1044,1161
309636,209,1549,1685,1813,1886,2190,2275
310621,318,742,1313,1420,1698,1739,1783
311320,283,324,543,794,918,975,1261
314225,245,1003,1155,1356,1554,1606,1611
316633,158,327,453,680,714,810,1094
316835,1406,1541,1958,1986,2408,2440,2456
318637,359,694,857,980,1081,1125,1281
320826,288,401,711,808,924,957,1198
321323,419,766,1474,1830,1889,1960,2025
322224,254,362,1129,1320,1372,1493,1777
325129,317,505,582,653,773,855,1061
329844,140,261,453,619,665,829,887
330324,123,587,1778,1929,1998,2092,2126
333330,202,547,720,791,1027,1041,1093
334635,146,288,1278,1431,1718,1734,1997
336841,157,864,1030,1215,1445,1577,2098
339847,85,114,272,310,365,368,378
341834,502,904,1181,1341,1462,1479,1548
342129,256,602,807,921,960,1151,1206
346137,193,979,1453,1728,1741,1800,1851
346945,768,1392,1435,2001,2057,2110,2229
348545,268,584,696,744,930,1004,1412
349244,324,671,1258,1727,1837,1937,1944
350330,104,312,519,644,677,740,799
352132,452,1083,1580,1746,1885,1943,1965
352738,133,422,553,692,1000,1064,1238
353740,418,601,805,978,1134,1256,1320
356948,169,219,703,780,951,986,1047
358144,206,526,571,882,1092,1635,1698
360030,415,709,914,1117,1220,1222,1421
361234,99,202,398,434,505,530,558
361941,222,513,661,804,895,953,1061
365343,1029,1626,2050,2502,2953,3023,3141
366042,217,322,793,974,1099,1248,1520
368551,264,944,1069,1149,1364,1630,1685
368753,117,417,976,1117,1183,1300,1449
376247,193,366,663,744,1032,1208,1220
377451,367,1027,1346,1435,1574,1594,1695
378756,558,996,1171,1298,1465,1476,1555
378857,199,360,556,646,812,822,864
379657,150,271,1767,2184,2362,2367,2566
380036,199,467,1027,1114,1138,1146,1363
381038,110,182,464,608,659,987,1026
381543,318,1121,1351,1617,1671,1840,1851
382242,200,361,587,745,907,909,942
385046,226,931,1013,1226,1572,1637,2014
385450,121,355,706,843,908,966,1001
386250,140,251,301,541,579,594,696
387959,268,423,1159,1352,1386,1395,1409
389357,102,200,400,597,688,695,869
391748,185,946,1569,1604,1891,1894,1912
392447,274,863,1080,1213,1333,1372,1494
392750,122,940,1143,1548,1598,1655,1755
393247,190,442,743,855,903,948,1279
393550,247,503,684,772,868,873,922
394956,281,658,1224,1466,1592,1659,1680
395251,242,635,951,1283,1407,1409,1422
395756,589,1021,1484,1587,1623,1758,1896
395958,147,330,439,514,593,727,954
397154,181,268,687,745,783,826,982
397861,194,473,826,1414,1487,1524,1706
401422,843,1444,1812,1934,2031,2033,2284
406432,94,136,213,435,659,693,714
406836,99,271,614,783,854,907,943
412528,281,505,635,798,1146,1164,1192
413934,340,477,744,957,1094,1104,1156
415837,150,192,348,569,787,793,882
419239,213,324,781,1029,1221,1229,1382
421226,255,1058,1864,2061,2134,2161,2433
422632,238,366,998,1079,1117,1240,1411
424939,196,340,1069,1149,1177,1208,1374
432332,216,300,423,482,578,640,996
433839,105,143,528,565,872,984,987
436239,303,1201,1348,1389,1600,1753,2193
436845,213,411,791,1151,1227,1265,1358
441939,136,175,408,604,688,711,741
445543,119,339,478,739,885,892,915
449753,115,146,670,840,912,921,925
453441,319,989,1262,1304,1599,1681,1721
453542,151,257,523,578,710,833,1023
454140,255,458,631,771,980,1141,1194
456346,1179,1454,2216,2381,2693,2889,3020
459453,251,368,606,761,801,894,1155
461743,187,543,897,979,1182,1186,1654
463040,303,531,646,673,720,780,1001
465852,582,909,1245,1294,1556,1607,1616
467351,194,1120,1456,1518,1660,1666,1711
468050,157,623,780,1080,1158,1165,1182
469961,294,602,942,1045,1273,1283,1404
475855,149,409,804,913,997,1115,1210
479762,222,287,755,953,1047,1087,1100
480141,216,857,1041,1105,1488,1582,1695
481042,182,487,1386,1604,1662,1665,1713
481951,174,625,735,766,922,935,969
486759,100,188,351,430,599,770,837
495255,103,197,1306,1545,1612,1721,1863
497865,441,686,837,1053,1126,1144,1168
500222,141,325,796,972,1313,1370,1541
506234,148,1056,1202,1369,1543,1640,1826
510225,287,1856,2134,2159,2195,2234,2250
510326,189,330,455,608,668,715,823
512835,168,517,1028,1172,1194,1198,1210
