Source,Target,Type,Weight
43,14,Undirected,1.9431
43,15,Undirected,4.7797
43,16,Undirected,3.446
43,17,Undirected,1.4128
43,20,Undirected,0.78669
43,21,Undirected,1.9868
43,22,Undirected,1.3867
43,28,Undirected,0.63054
43,29,Undirected,1.1868
43,31,Undirected,3.33
43,34,Undirected,1.9862
43,35,Undirected,0.85399
43,36,Undirected,0.93157
43,40,Undirected,1.9559
43,42,Undirected,0.093171
44,1,Undirected,1.0867
44,3,Undirected,0.74528
44,4,Undirected,1.3728
44,5,Undirected,2.0782
44,9,Undirected,0.018141
44,13,Undirected,2.4065
44,18,Undirected,3.1059
44,19,Undirected,0.47329
44,23,Undirected,4.0501
44,24,Undirected,0.91748
44,25,Undirected,2.5735
44,26,Undirected,0.12589
44,28,Undirected,0.71951
44,29,Undirected,4.0826
44,30,Undirected,1.3911
44,31,Undirected,0.76483
44,34,Undirected,2.4496
44,35,Undirected,9.5791
44,36,Undirected,1.8211
44,40,Undirected,7.0651
44,41,Undirected,8.3688
44,42,Undirected,1.5584
45,2,Undirected,2.0439
45,4,Undirected,0.38285
45,6,Undirected,2.4322
45,8,Undirected,4.6688
45,13,Undirected,0.27469
45,16,Undirected,0.024233
45,17,Undirected,0.62936
45,20,Undirected,3.1549
45,22,Undirected,1.4887
45,24,Undirected,1.3544
45,26,Undirected,3.204
45,28,Undirected,1.0693
45,30,Undirected,3.8568
45,31,Undirected,1.5478
45,32,Undirected,2.121
45,37,Undirected,0.50021
45,38,Undirected,3.5676
45,39,Undirected,2.3664
45,40,Undirected,0.7159
45,43,Undirected,4.7648
45,44,Undirected,2.543
46,2,Undirected,8.2534
46,3,Undirected,0.31138
46,5,Undirected,1.4797
46,17,Undirected,0.52042
46,22,Undirected,1.9569
46,24,Undirected,0.18221
46,25,Undirected,0.22168
46,27,Undirected,1.2147
46,31,Undirected,2.659
46,33,Undirected,0.98051
46,34,Undirected,0.83045
46,35,Undirected,0.79857
46,37,Undirected,2.1019
46,38,Undirected,3.1972
46,41,Undirected,0.83105
46,43,Undirected,1.941
46,45,Undirected,5.3138
47,0,Undirected,1.0957
47,4,Undirected,0.10789
47,5,Undirected,0.1703
47,7,Undirected,1.6195
47,10,Undirected,2.561
47,11,Undirected,1.9136
47,12,Undirected,2.9432
47,13,Undirected,2.1716
47,14,Undirected,0.77785
47,18,Undirected,1.1009
47,22,Undirected,1.0672
47,23,Undirected,3.1221
47,24,Undirected,1.9866
47,25,Undirected,1.3258
47,27,Undirected,2.3937
47,33,Undirected,3.5435
47,34,Undirected,0.065547
47,37,Undirected,2.2381
47,38,Undirected,5.292
47,45,Undirected,1.5644
48,0,Undirected,0.46262
48,1,Undirected,0.03304
48,2,Undirected,0.19704
48,4,Undirected,2.1833
48,5,Undirected,2.4266
48,6,Undirected,1.419
48,7,Undirected,4.7876
48,8,Undirected,2.3143
48,11,Undirected,2.5211
48,12,Undirected,1.3186
48,13,Undirected,1.5391
48,14,Undirected,0.96761
48,15,Undirected,3.9204
48,16,Undirected,2.2103
48,17,Undirected,0.14639
