,NG sim,subject,SC_0.7,SC_0.8,SC_0.9,SC_0.95,SC_0.98,SC_0.99,SC_1
432,0,418,273,1279,1427,1516,2265,2919,3053
433,0,435,147,576,785,900,1094,1396,1625
434,0,425,238,2376,2577,2660,2715,2720,3036
435,0,433,129,1663,1914,1968,2097,2151,2184
436,0,436,157,379,1074,1223,1347,1559,1567
437,0,438,592,1032,1265,1343,1447,1513,1545
438,0,441,283,675,1071,1150,1233,1287,1353
439,0,439,341,1147,1391,1477,1512,1528,1747
440,0,445,108,163,304,394,620,999,1172
441,0,442,280,558,961,1012,1323,1442,1677
442,0,446,153,198,494,548,678,745,1104
443,0,437,540,656,1267,1531,1689,1693,2048
444,0,443,370,903,1165,1348,1472,1578,1699
445,0,440,255,1809,2118,2236,2337,2424,2598
446,0,451,209,634,784,890,970,1006,1066
447,0,444,608,1465,1743,1850,1974,2000,2069
448,0,449,180,521,611,716,885,972,1253
449,0,447,403,1264,1800,1856,1961,2010,2113
450,0,453,200,476,682,875,1046,1053,1073
451,0,455,277,340,472,818,1021,1044,1161
452,0,452,130,285,723,965,987,1030,1340
453,0,448,545,984,1195,1361,1607,1637,1931
454,0,454,260,440,1031,1133,1355,1384,1448
455,0,458,283,324,543,794,918,975,1261
456,0,460,158,327,453,680,714,810,1094
457,0,457,318,742,1313,1420,1698,1739,1783
458,0,459,245,1003,1155,1356,1554,1606,1611
459,0,456,209,1549,1685,1813,1886,2190,2275
460,0,462,359,694,857,980,1081,1125,1281
461,0,466,317,505,582,653,773,855,1061
462,0,463,288,401,711,808,924,957,1198
463,0,467,140,261,453,619,665,829,887
464,0,472,85,114,272,310,365,368,378
465,0,465,254,362,1129,1320,1372,1493,1777
466,0,461,1406,1541,1958,1986,2408,2440,2456
467,0,464,419,766,1474,1830,1889,1960,2025
468,0,469,202,547,720,791,1027,1041,1093
469,0,474,256,602,807,921,960,1151,1206
470,0,468,123,587,1778,1929,1998,2092,2126
471,0,473,502,904,1181,1341,1462,1479,1548
472,0,479,104,312,519,644,677,740,799
473,0,470,146,288,1278,1431,1718,1734,1997
474,0,450,210,2730,4335,4524,4665,4673,4864
475,0,475,193,979,1453,1728,1741,1800,1851
476,0,471,157,864,1030,1215,1445,1577,2098
